Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_5_[384, 266, 128];0.5448075056615982;0.842;0.661559615006875;0.5908741975308642;0.5719254658385093;0.04442763328552246
SVDD_RBF_0.0005_scale_5_[384, 266, 128];0.5159395973154363;0.9225;0.6617647058823529;0.6200972839506173;0.5314285714285715;0.047414541244506836
SVDD_RBF_0.001_scale_5_[384, 266, 128];0.5102971665514858;0.923;0.6572318647085001;0.6169082098765432;0.5216149068322982;0.049547672271728516
SVDD_RBF_0.005_scale_5_[384, 266, 128];0.5104395604395604;0.929;0.6588652482269503;0.6092283950617283;0.5219875776397516;0.051644325256347656
SVDD_RBF_0.01_scale_5_[384, 266, 128];0.5098146877144818;0.9285;0.6582188746123171;0.609300061728395;0.5208695652173913;0.05304527282714844
SVDD_RBF_0.05_scale_5_[384, 266, 128];0.5086681342872867;0.92425;0.6561945331913384;0.6029522839506173;0.5187577639751553;0.05220484733581543
SVDD_RBF_0.1_scale_5_[384, 266, 128];0.507945358238082;0.911;0.652228387327725;0.6022204320987654;0.5172670807453417;0.06062889099121094
SVDD_RBF_0.2_scale_5_[384, 266, 128];0.5126425384234011;0.7755;0.617252014724903;0.5581288271604938;0.522111801242236;0.0946359634399414
SVDD_RBF_0.3_scale_5_[384, 266, 128];0.5324543610547667;0.65625;0.5879059350503919;0.5377595679012345;0.5428571428571428;0.12093997001647949
SVDD_RBF_0.4_scale_5_[384, 266, 128];0.5553028148990617;0.48825;0.5196221897033392;0.5638292592592592;0.5514285714285714;0.15053319931030273
SVDD_RBF_0.5_scale_5_[384, 266, 128];0.5764546684709067;0.3195;0.4111307704680714;0.5479444444444445;0.5452173913043479;0.17723727226257324
SVDD_RBF_0.6_scale_5_[384, 266, 128];0.5516074450084603;0.2445;0.3388186384895202;0.5411724691358025;0.5258385093167702;0.21023821830749512
SVDD_RBF_0.7_scale_5_[384, 266, 128];0.5329073482428115;0.2085;0.29973045822102423;0.5383237037037036;0.5159006211180124;0.25727081298828125
SVDD_RBF_0.8_scale_5_[384, 266, 128];0.5300925925925926;0.17175;0.25944108761329304;0.533555987654321;0.5127950310559006;0.2854936122894287
SVDD_RBF_0.9_scale_5_[384, 266, 128];0.4808259587020649;0.0815;0.1393758016246259;0.5158711111111111;0.4998757763975155;0.3143041133880615
SVDD_RBF_0.0001_auto_5_[384, 266, 128];0.6282608695652174;0.21675;0.32230483271375465;0.5752460493827161;0.5470807453416149;0.0733330249786377
SVDD_RBF_0.0005_auto_5_[384, 266, 128];0.5192307692307693;0.3645;0.4283196239717979;0.5414337654320988;0.5165217391304348;0.09728050231933594
SVDD_RBF_0.001_auto_5_[384, 266, 128];0.5293772032902467;0.4505;0.4867639113992437;0.5583187654320987;0.5279503105590062;0.11123347282409668
SVDD_RBF_0.005_auto_5_[384, 266, 128];0.5556858147713951;0.474;0.5116028062601188;0.565596975308642;0.5503105590062112;0.12536859512329102
SVDD_RBF_0.01_auto_5_[384, 266, 128];0.5527785945310203;0.47;0.5080394541278206;0.56202;0.5477018633540373;0.12562036514282227
SVDD_RBF_0.05_auto_5_[384, 266, 128];0.5548368127021465;0.47175;0.5099310903931901;0.563027962962963;0.5494409937888198;0.12294340133666992
SVDD_RBF_0.1_auto_5_[384, 266, 128];0.5560775102759835;0.4735;0.5114771806643262;0.5634887654320988;0.5505590062111801;0.12309956550598145
SVDD_RBF_0.2_auto_5_[384, 266, 128];0.556439278066687;0.45475;0.5004814967670931;0.563548024691358;0.548944099378882;0.14428424835205078
SVDD_RBF_0.3_auto_5_[384, 266, 128];0.565798733286418;0.402;0.4700380005846244;0.5723112345679012;0.5495652173913044;0.19932985305786133
SVDD_RBF_0.4_auto_5_[384, 266, 128];0.5633116883116883;0.347;0.42945544554455445;0.5856604938271606;0.541863354037267;0.17881464958190918
SVDD_RBF_0.5_auto_5_[384, 266, 128];0.6041433370660694;0.26975;0.3729692360871068;0.5932425308641975;0.5493167701863354;0.24666547775268555
SVDD_RBF_0.6_auto_5_[384, 266, 128];0.5982905982905983;0.21;0.31088082901554404;0.5893552469135802;0.5373913043478261;0.2640511989593506
SVDD_RBF_0.7_auto_5_[384, 266, 128];0.632258064516129;0.1715;0.2698131760078663;0.5881703086419753;0.5387577639751553;0.2519848346710205
SVDD_RBF_0.8_auto_5_[384, 266, 128];0.6611226611226612;0.0795;0.14193260432939075;0.5867122839506173;0.522360248447205;0.28604578971862793
SVDD_RBF_0.9_auto_5_[384, 266, 128];0.775;0.0465;0.08773584905660377;0.5906907407407407;0.5195031055900621;0.3203773498535156
SVDD_linear_0.0001_scale_5_[384, 266, 128];0.49885902636916835;0.98375;0.6620121130551817;0.49562141975308643;0.5008695652173913;0.02661752700805664
SVDD_linear_0.0005_scale_5_[384, 266, 128];0.49885902636916835;0.98375;0.6620121130551817;0.49562141975308643;0.5008695652173913;0.02669525146484375
SVDD_linear_0.001_scale_5_[384, 266, 128];0.49885902636916835;0.98375;0.6620121130551817;0.49562141975308643;0.5008695652173913;0.026484966278076172
SVDD_linear_0.005_scale_5_[384, 266, 128];0.49885902636916835;0.98375;0.6620121130551817;0.49562141975308643;0.5008695652173913;0.026763200759887695
SVDD_linear_0.01_scale_5_[384, 266, 128];0.49885902636916835;0.98375;0.6620121130551817;0.49562135802469137;0.5008695652173913;0.02671194076538086
SVDD_linear_0.05_scale_5_[384, 266, 128];0.49840865690642905;0.97875;0.660480809784901;0.49506117283950624;0.5;0.0304262638092041
SVDD_linear_0.1_scale_5_[384, 266, 128];0.49753036977706583;0.93175;0.6486815768862588;0.48887796296296293;0.49850931677018634;0.03446364402770996
SVDD_linear_0.2_scale_5_[384, 266, 128];0.5088776157260622;0.8025;0.6228172293364378;0.491412962962963;0.5170186335403727;0.04470992088317871
SVDD_linear_0.3_scale_5_[384, 266, 128];0.5002090301003345;0.59825;0.5448542805100183;0.49435783950617285;0.5033540372670807;0.059237003326416016
SVDD_linear_0.4_scale_5_[384, 266, 128];0.487080415358609;0.50425;0.4955165213118782;0.49748080246913584;0.4898136645962733;0.06766390800476074
SVDD_linear_0.5_scale_5_[384, 266, 128];0.47439281942977823;0.44925;0.46147919876733434;0.4948337654320987;0.4790062111801242;0.07936668395996094
SVDD_linear_0.6_scale_5_[384, 266, 128];0.46440938822624084;0.30175;0.36581300196999544;0.49205469135802465;0.48012422360248447;0.08926010131835938
SVDD_linear_0.7_scale_5_[384, 266, 128];0.44914134742404227;0.17;0.2466449038810301;0.48797938271604946;0.48397515527950313;0.09649848937988281
SVDD_linear_0.8_scale_5_[384, 266, 128];0.2985714285714286;0.05225;0.08893617021276595;0.4869038888888889;0.4680745341614907;0.10448336601257324
SVDD_linear_0.9_scale_5_[384, 266, 128];0.3156779661016949;0.03725;0.06663685152057244;0.48562271604938273;0.48149068322981364;0.11874175071716309
SVDD_linear_0.0001_auto_5_[384, 266, 128];0.49885902636916835;0.98375;0.6620121130551817;0.49562141975308643;0.5008695652173913;0.026141643524169922
SVDD_linear_0.0005_auto_5_[384, 266, 128];0.49885902636916835;0.98375;0.6620121130551817;0.49562141975308643;0.5008695652173913;0.026470184326171875
SVDD_linear_0.001_auto_5_[384, 266, 128];0.49885902636916835;0.98375;0.6620121130551817;0.49562141975308643;0.5008695652173913;0.026912927627563477
SVDD_linear_0.005_auto_5_[384, 266, 128];0.49885902636916835;0.98375;0.6620121130551817;0.49562141975308643;0.5008695652173913;0.026371002197265625
SVDD_linear_0.01_auto_5_[384, 266, 128];0.49885902636916835;0.98375;0.6620121130551817;0.49562135802469137;0.5008695652173913;0.027327537536621094
SVDD_linear_0.05_auto_5_[384, 266, 128];0.49840865690642905;0.97875;0.660480809784901;0.49506117283950624;0.5;0.029918193817138672
SVDD_linear_0.1_auto_5_[384, 266, 128];0.49753036977706583;0.93175;0.6486815768862588;0.48887796296296293;0.49850931677018634;0.03293299674987793
SVDD_linear_0.2_auto_5_[384, 266, 128];0.5088776157260622;0.8025;0.6228172293364378;0.491412962962963;0.5170186335403727;0.044320106506347656
SVDD_linear_0.3_auto_5_[384, 266, 128];0.5002090301003345;0.59825;0.5448542805100183;0.49435783950617285;0.5033540372670807;0.05870985984802246
SVDD_linear_0.4_auto_5_[384, 266, 128];0.487080415358609;0.50425;0.4955165213118782;0.49748080246913584;0.4898136645962733;0.06868720054626465
SVDD_linear_0.5_auto_5_[384, 266, 128];0.47439281942977823;0.44925;0.46147919876733434;0.4948337654320987;0.4790062111801242;0.07655048370361328
SVDD_linear_0.6_auto_5_[384, 266, 128];0.46440938822624084;0.30175;0.36581300196999544;0.49205469135802465;0.48012422360248447;0.0875694751739502
SVDD_linear_0.7_auto_5_[384, 266, 128];0.44914134742404227;0.17;0.2466449038810301;0.48797938271604946;0.48397515527950313;0.09731340408325195
SVDD_linear_0.8_auto_5_[384, 266, 128];0.2985714285714286;0.05225;0.08893617021276595;0.4869038888888889;0.4680745341614907;0.10424184799194336
SVDD_linear_0.9_auto_5_[384, 266, 128];0.3156779661016949;0.03725;0.06663685152057244;0.48562271604938273;0.48149068322981364;0.11869215965270996
SVDD_sigmoid_0.0001_scale_5_[384, 266, 128];0.49922859346875803;0.97075;0.6593649176430634;0.4950112345679012;0.5016149068322981;0.027734756469726562
SVDD_sigmoid_0.0005_scale_5_[384, 266, 128];0.49922859346875803;0.97075;0.6593649176430634;0.4950112345679012;0.5016149068322981;0.028037071228027344
SVDD_sigmoid_0.001_scale_5_[384, 266, 128];0.4985407943154422;0.98225;0.6613921387088628;0.5189023456790123;0.500248447204969;0.029382705688476562
SVDD_sigmoid_0.005_scale_5_[384, 266, 128];0.4982256020278834;0.98275;0.6612279226240538;0.5206395679012346;0.4996273291925466;0.029211997985839844
SVDD_sigmoid_0.01_scale_5_[384, 266, 128];0.4982256020278834;0.98275;0.6612279226240538;0.5206395679012346;0.4996273291925466;0.02924799919128418
SVDD_sigmoid_0.05_scale_5_[384, 266, 128];0.4987918097418288;0.9805;0.6612155441288038;0.502871111111111;0.5007453416149068;0.03571677207946777
SVDD_sigmoid_0.1_scale_5_[384, 266, 128];0.49747138674474317;0.9345;0.6492965085982282;0.4964046913580247;0.49838509316770185;0.04386496543884277
SVDD_sigmoid_0.2_scale_5_[384, 266, 128];0.517162471395881;0.791;0.6254200434868551;0.5053666049382716;0.529192546583851;0.06341266632080078
SVDD_sigmoid_0.3_scale_5_[384, 266, 128];0.498109243697479;0.59275;0.541324200913242;0.49475567901234563;0.5008695652173913;0.08584833145141602
SVDD_sigmoid_0.4_scale_5_[384, 266, 128];0.4841135095804026;0.499;0.4914440477656038;0.49221808641975306;0.48683229813664597;0.10396838188171387
SVDD_sigmoid_0.5_scale_5_[384, 266, 128];0.47172619047619047;0.4755;0.473605577689243;0.4819016666666667;0.4747826086956522;0.12564468383789062
SVDD_sigmoid_0.6_scale_5_[384, 266, 128];0.4350079744816587;0.27275;0.335279655808236;0.47523067901234567;0.46260869565217394;0.14328455924987793
SVDD_sigmoid_0.7_scale_5_[384, 266, 128];0.41863799283154124;0.146;0.21649675625579237;0.4665899382716049;0.4749068322981366;0.1950681209564209
SVDD_sigmoid_0.8_scale_5_[384, 266, 128];0.36092396535129934;0.09375;0.14883905536812858;0.46323277777777777;0.46720496894409935;0.20403790473937988
SVDD_sigmoid_0.9_scale_5_[384, 266, 128];0.31982942430703626;0.0375;0.06712911165808906;0.4604824691358025;0.482111801242236;0.21941518783569336
SVDD_sigmoid_0.0001_auto_5_[384, 266, 128];0.4870091526424565;0.82475;0.6124002227584928;0.49208259259259257;0.4812422360248447;0.0358583927154541
SVDD_sigmoid_0.0005_auto_5_[384, 266, 128];0.48943137838642453;0.822;0.6135473036014182;0.4922609259259259;0.4854658385093168;0.03243565559387207
SVDD_sigmoid_0.001_auto_5_[384, 266, 128];0.48943137838642453;0.822;0.6135473036014182;0.4922609259259259;0.4854658385093168;0.03604698181152344
SVDD_sigmoid_0.005_auto_5_[384, 266, 128];0.4909254537273136;0.81825;0.6136683228649105;0.4923768209876543;0.48807453416149066;0.04086875915527344
SVDD_sigmoid_0.01_auto_5_[384, 266, 128];0.45882710422364026;0.3775;0.414209299135921;0.48807293209876546;0.46944099378881987;0.03958630561828613
SVDD_sigmoid_0.05_auto_5_[384, 266, 128];0.5067532011927732;0.72225;0.5956087001340068;0.4855472530864197;0.5126708074534162;0.04434680938720703
SVDD_sigmoid_0.1_auto_5_[384, 266, 128];0.48659384309831183;0.8575;0.6208706670286904;0.3690164197530864;0.4796273291925466;0.04845714569091797
SVDD_sigmoid_0.2_auto_5_[384, 266, 128];0.5141886151231946;0.7565;0.6122407688416793;0.5083361728395062;0.5238509316770187;0.062011003494262695
SVDD_sigmoid_0.3_auto_5_[384, 266, 128];0.41941747572815535;0.594;0.4916709777547853;0.3978862962962963;0.3896894409937888;0.08536791801452637
SVDD_sigmoid_0.4_auto_5_[384, 266, 128];0.43447326141840714;0.47325;0.4530333851860715;0.3887795061728395;0.43217391304347824;0.10427498817443848
SVDD_sigmoid_0.5_auto_5_[384, 266, 128];0.4489591171306747;0.4475;0.4482283711030425;0.43014833333333335;0.45254658385093166;0.12288594245910645
SVDD_sigmoid_0.6_auto_5_[384, 266, 128];0.4205607476635514;0.3375;0.37447988904299584;0.43116117283950617;0.43975155279503103;0.14203381538391113
SVDD_sigmoid_0.7_auto_5_[384, 266, 128];0.38325420802762195;0.222;0.2811461136615482;0.43219833333333335;0.4359006211180124;0.16003870964050293
SVDD_sigmoid_0.8_auto_5_[384, 266, 128];0.44541910331384016;0.11425;0.18185435734182254;0.43366499999999997;0.4891925465838509;0.18046140670776367
SVDD_sigmoid_0.9_auto_5_[384, 266, 128];0.47575757575757577;0.0785;0.13476394849785409;0.43356611111111115;0.4991304347826087;0.19945740699768066
SVDD_poly_2_0.0001_scale_5_[384, 266, 128];0.5007266481701678;0.9475;0.6551992393465296;0.5710283950617284;0.504472049689441;0.026453018188476562
SVDD_poly_2_0.0005_scale_5_[384, 266, 128];0.5007266481701678;0.9475;0.6551992393465296;0.5710283950617284;0.504472049689441;0.026434659957885742
SVDD_poly_2_0.001_scale_5_[384, 266, 128];0.4975788509357414;0.9505;0.6532084872433639;0.5718563580246914;0.49850931677018634;0.026697635650634766
SVDD_poly_2_0.005_scale_5_[384, 266, 128];0.4975788509357414;0.9505;0.6532084872433639;0.5718563580246914;0.49850931677018634;0.027147293090820312
SVDD_poly_2_0.01_scale_5_[384, 266, 128];0.4976439790575916;0.9505;0.6532646048109966;0.5718778395061728;0.4986335403726708;0.02706289291381836
SVDD_poly_2_0.05_scale_5_[384, 266, 128];0.5023512024721215;0.93475;0.6534999563051648;0.5819896296296296;0.5074534161490684;0.030704021453857422
SVDD_poly_2_0.1_scale_5_[384, 266, 128];0.5043763676148797;0.922;0.6520509193776521;0.5922151851851851;0.511055900621118;0.03470754623413086
SVDD_poly_2_0.2_scale_5_[384, 266, 128];0.5152415194622479;0.824;0.6340290468404348;0.599879074074074;0.5273291925465838;0.0463104248046875
SVDD_poly_2_0.3_scale_5_[384, 266, 128];0.5225688073394495;0.712;0.6027513227513228;0.6102152469135802;0.5336645962732919;0.05965065956115723
SVDD_poly_2_0.4_scale_5_[384, 266, 128];0.5285769828926905;0.67975;0.5947069116360455;0.6141003703703705;0.5396273291925466;0.07032060623168945
SVDD_poly_2_0.5_scale_5_[384, 266, 128];0.5360898661567878;0.56075;0.5481427174975562;0.6172185185185186;0.5406211180124224;0.08126497268676758
SVDD_poly_2_0.6_scale_5_[384, 266, 128];0.563894523326572;0.4865;0.5223459938263321;0.6162931481481481;0.557888198757764;0.0920565128326416
SVDD_poly_2_0.7_scale_5_[384, 266, 128];0.666532582461786;0.41425;0.5109466543324084;0.6144377160493827;0.6059627329192546;0.10558462142944336
SVDD_poly_2_0.8_scale_5_[384, 266, 128];0.7855153203342619;0.282;0.41501103752759383;0.6155882098765433;0.6049689440993788;0.11259746551513672
SVDD_poly_2_0.9_scale_5_[384, 266, 128];0.844106463878327;0.222;0.3515439429928741;0.6162030864197531;0.5930434782608696;0.12380003929138184
SVDD_poly_2_0.0001_auto_5_[384, 266, 128];0.4975788509357414;0.9505;0.6532084872433639;0.5718811728395062;0.49850931677018634;0.02719879150390625
SVDD_poly_2_0.0005_auto_5_[384, 266, 128];0.4975788509357414;0.9505;0.6532084872433639;0.5719074074074073;0.49850931677018634;0.02668595314025879
SVDD_poly_2_0.001_auto_5_[384, 266, 128];0.4975788509357414;0.9505;0.6532084872433639;0.5719074074074073;0.49850931677018634;0.026590824127197266
SVDD_poly_2_0.005_auto_5_[384, 266, 128];0.4975788509357414;0.9505;0.6532084872433639;0.5719074074074073;0.49850931677018634;0.026587247848510742
SVDD_poly_2_0.01_auto_5_[384, 266, 128];0.4975788509357414;0.9505;0.6532084872433639;0.5719074691358025;0.49850931677018634;0.02662062644958496
SVDD_poly_2_0.05_auto_5_[384, 266, 128];0.5022837184309511;0.93475;0.653442852149598;0.5819960493827161;0.5073291925465838;0.030660629272460938
SVDD_poly_2_0.1_auto_5_[384, 266, 128];0.5043763676148797;0.922;0.6520509193776521;0.5922151851851851;0.511055900621118;0.034862518310546875
SVDD_poly_2_0.2_auto_5_[384, 266, 128];0.5152415194622479;0.824;0.6340290468404348;0.599879074074074;0.5273291925465838;0.04549431800842285
SVDD_poly_2_0.3_auto_5_[384, 266, 128];0.5225688073394495;0.712;0.6027513227513228;0.610216049382716;0.5336645962732919;0.05978059768676758
SVDD_poly_2_0.4_auto_5_[384, 266, 128];0.5285769828926905;0.67975;0.5947069116360455;0.6141002469135802;0.5396273291925466;0.07354259490966797
SVDD_poly_2_0.5_auto_5_[384, 266, 128];0.5360898661567878;0.56075;0.5481427174975562;0.6172185185185186;0.5406211180124224;0.08209800720214844
SVDD_poly_2_3_0.6_auto_5_[384, 266, 128];0.563894523326572;0.4865;0.5223459938263321;0.6162931481481481;0.557888198757764;0.09074735641479492
SVDD_poly_2_0.7_auto_5_[384, 266, 128];0.666532582461786;0.41425;0.5109466543324084;0.6144377160493827;0.6059627329192546;0.10783958435058594
SVDD_poly_2_0.8_auto_5_[384, 266, 128];0.7855153203342619;0.282;0.41501103752759383;0.6155882098765433;0.6049689440993788;0.11642098426818848
SVDD_poly_2_0.9_auto_5_[384, 266, 128];0.844106463878327;0.222;0.3515439429928741;0.6162030864197531;0.5930434782608696;0.12328195571899414
SVDD_poly_3_0.0001_scale_5_[384, 266, 128];0.4984135042518086;0.98175;0.6611667648791986;0.47388345679012345;0.5;0.02689671516418457
SVDD_poly_3_0.0005_scale_5_[384, 266, 128];0.4984135042518086;0.98175;0.6611667648791986;0.47423179012345673;0.5;0.027242422103881836
SVDD_poly_3_0.001_scale_5_[384, 266, 128];0.4984135042518086;0.98175;0.6611667648791986;0.47423179012345673;0.5;0.02698659896850586
SVDD_poly_3_0.005_scale_5_[384, 266, 128];0.4984135042518086;0.98175;0.6611667648791986;0.47423179012345673;0.5;0.026684045791625977
SVDD_poly_3_0.01_scale_5_[384, 266, 128];0.4984135042518086;0.98175;0.6611667648791986;0.4742309876543209;0.5;0.02715921401977539
SVDD_poly_3_0.05_scale_5_[384, 266, 128];0.49789621318373073;0.97625;0.6594612851473445;0.5141609259259259;0.4990062111801242;0.030461788177490234
SVDD_poly_3_0.1_scale_5_[384, 266, 128];0.49819446301992776;0.93125;0.6491243356277773;0.4980748148148148;0.49975155279503103;0.03415274620056152
SVDD_poly_3_0.2_scale_5_[384, 266, 128];0.5055445845359259;0.832;0.6289331947462913;0.4776700617283951;0.5121739130434783;0.04526042938232422
SVDD_poly_3_0.3_scale_5_[384, 266, 128];0.4938423645320197;0.6015;0.542380522993688;0.4887740123456791;0.4956521739130435;0.058353424072265625
SVDD_poly_3_0.4_scale_5_[384, 266, 128];0.48847497089639114;0.5245;0.5058468957203134;0.5020537037037036;0.49080745341614906;0.06915926933288574
SVDD_poly_3_0.5_scale_5_[384, 266, 128];0.4896976184104897;0.4575;0.4730515703761147;0.5109817283950617;0.49354037267080747;0.08155512809753418
SVDD_poly_3_0.6_scale_5_[384, 266, 128];0.48585541086663675;0.2705;0.34751886943953747;0.5109122222222222;0.49527950310559005;0.0993342399597168
SVDD_poly_3_0.7_scale_5_[384, 266, 128];0.49865083648138153;0.231;0.3157355202460277;0.5120851234567901;0.5024844720496895;0.10205674171447754
SVDD_poly_3_0.8_scale_5_[384, 266, 128];0.4567901234567901;0.12025;0.19038195131604985;0.5121385802469136;0.49180124223602484;0.11359930038452148
SVDD_poly_3_0.9_scale_5_[384, 266, 128];0.47019867549668876;0.08875;0.14931650893796;0.5113535802469136;0.49751552795031057;0.12514328956604004
SVDD_poly_3_0.0001_auto_5_[384, 266, 128];0.4984135042518086;0.98175;0.6611667648791986;0.4742309876543209;0.5;0.026301145553588867
SVDD_poly_3_0.0005_auto_5_[384, 266, 128];0.4984135042518086;0.98175;0.6611667648791986;0.4742309876543209;0.5;0.0261685848236084
SVDD_poly_3_0.001_auto_5_[384, 266, 128];0.4984135042518086;0.98175;0.6611667648791986;0.4742309876543209;0.5;0.026623010635375977
SVDD_poly_3_0.005_auto_5_[384, 266, 128];0.4984135042518086;0.98175;0.6611667648791986;0.4742309876543209;0.5;0.026372432708740234
SVDD_poly_3_0.01_auto_5_[384, 266, 128];0.4984135042518086;0.98175;0.6611667648791986;0.4742309876543209;0.5;0.02651214599609375
SVDD_poly_3_0.05_auto_5_[384, 266, 128];0.49789621318373073;0.97625;0.6594612851473445;0.5141609259259259;0.4990062111801242;0.030103683471679688
SVDD_poly_3_0.1_auto_5_[384, 266, 128];0.49819446301992776;0.93125;0.6491243356277773;0.4980748148148148;0.49975155279503103;0.03356170654296875
SVDD_poly_3_0.2_auto_5_[384, 266, 128];0.5055445845359259;0.832;0.6289331947462913;0.4776700617283951;0.5121739130434783;0.0448298454284668
SVDD_poly_3_0.3_auto_5_[384, 266, 128];0.4938423645320197;0.6015;0.542380522993688;0.4887740123456791;0.4956521739130435;0.05967593193054199
SVDD_poly_3_0.4_auto_5_[384, 266, 128];0.48847497089639114;0.5245;0.5058468957203134;0.5020537037037036;0.49080745341614906;0.0705115795135498
SVDD_poly_3_0.5_auto_5_[384, 266, 128];0.4896976184104897;0.4575;0.4730515703761147;0.5109817283950617;0.49354037267080747;0.07923722267150879
SVDD_poly_3_3_0.6_auto_5_[384, 266, 128];0.48585541086663675;0.2705;0.34751886943953747;0.5109122222222222;0.49527950310559005;0.09131836891174316
SVDD_poly_3_0.7_auto_5_[384, 266, 128];0.49865083648138153;0.231;0.3157355202460277;0.5120851234567901;0.5024844720496895;0.10294628143310547
SVDD_poly_3_0.8_auto_5_[384, 266, 128];0.4567901234567901;0.12025;0.19038195131604985;0.5121385802469136;0.49180124223602484;0.10930109024047852
SVDD_poly_3_0.9_auto_5_[384, 266, 128];0.47019867549668876;0.08875;0.14931650893796;0.5113535802469136;0.49751552795031057;0.12207269668579102
SVDD_poly_4_0.0001_scale_5_[384, 266, 128];0.49979550102249487;0.9165;0.6468460520511689;0.5414688888888889;0.5027329192546584;0.027100324630737305
SVDD_poly_4_0.0005_scale_5_[384, 266, 128];0.4949287456669662;0.96375;0.6539994910509797;0.5419995679012346;0.4932919254658385;0.027103185653686523
SVDD_poly_4_0.001_scale_5_[384, 266, 128];0.5019495710943592;0.9655;0.6605096630750813;0.5410865432098766;0.506832298136646;0.027791261672973633
SVDD_poly_4_0.005_scale_5_[384, 266, 128];0.49961230292065134;0.9665;0.6587152836939855;0.5410873456790123;0.502360248447205;0.027686119079589844
SVDD_poly_4_0.01_scale_5_[384, 266, 128];0.49961230292065134;0.9665;0.6587152836939855;0.5410873456790123;0.502360248447205;0.026972532272338867
SVDD_poly_4_0.05_scale_5_[384, 266, 128];0.5043830074173972;0.935;0.6552781427945685;0.5478804938271604;0.5111801242236025;0.030467748641967773
SVDD_poly_4_0.1_scale_5_[384, 266, 128];0.5104210379073997;0.91225;0.6545878554130415;0.5551714814814814;0.5216149068322982;0.035321950912475586
SVDD_poly_4_0.2_scale_5_[384, 266, 128];0.5141158989598811;0.865;0.6449207828518173;0.5573253703703703;0.5267080745341615;0.04362225532531738
SVDD_poly_4_0.3_scale_5_[384, 266, 128];0.5137082601054481;0.73075;0.6033023735810114;0.5736608641975309;0.5224844720496894;0.05916166305541992
SVDD_poly_4_0.4_scale_5_[384, 266, 128];0.5131552520586463;0.63875;0.5691056910569106;0.5921829012345678;0.5193788819875776;0.07221627235412598
SVDD_poly_4_0.5_scale_5_[384, 266, 128];0.526268522676246;0.586;0.5545303998107404;0.5971479629629629;0.5321739130434783;0.08299684524536133
SVDD_poly_4_0.6_scale_5_[384, 266, 128];0.5367699219673682;0.5675;0.5517073763519261;0.6050143827160495;0.5417391304347826;0.09278059005737305
SVDD_poly_4_0.7_scale_5_[384, 266, 128];0.6477007014809041;0.4155;0.5062442887602802;0.610082901234568;0.5972670807453416;0.1044468879699707
SVDD_poly_4_0.8_scale_5_[384, 266, 128];0.8600508905852418;0.169;0.2824905975762641;0.6121662345679013;0.573416149068323;0.11287426948547363
SVDD_poly_4_0.9_scale_5_[384, 266, 128];0.9166666666666666;0.0165;0.03241650294695481;0.6134991975308641;0.5105590062111801;0.12128233909606934
SVDD_poly_4_0.0001_auto_5_[384, 266, 128];0.49961230292065134;0.9665;0.6587152836939855;0.5410873456790123;0.502360248447205;0.026937484741210938
SVDD_poly_4_0.0005_auto_5_[384, 266, 128];0.49961230292065134;0.9665;0.6587152836939855;0.5410873456790123;0.502360248447205;0.027181625366210938
SVDD_poly_4_0.001_auto_5_[384, 266, 128];0.49961230292065134;0.9665;0.6587152836939855;0.5410873456790123;0.502360248447205;0.0267789363861084
SVDD_poly_4_0.005_auto_5_[384, 266, 128];0.49961230292065134;0.9665;0.6587152836939855;0.5410873456790123;0.502360248447205;0.026749610900878906
SVDD_poly_4_0.01_auto_5_[384, 266, 128];0.49961230292065134;0.9665;0.6587152836939855;0.5410873456790123;0.502360248447205;0.027243852615356445
SVDD_poly_4_0.05_auto_5_[384, 266, 128];0.5043830074173972;0.935;0.6552781427945685;0.5478804938271604;0.5111801242236025;0.030460834503173828
SVDD_poly_4_0.1_auto_5_[384, 266, 128];0.5104210379073997;0.91225;0.6545878554130415;0.5551716666666666;0.5216149068322982;0.03434419631958008
SVDD_poly_4_0.2_auto_5_[384, 266, 128];0.5141158989598811;0.865;0.6449207828518173;0.5573253703703703;0.5267080745341615;0.04429149627685547
SVDD_poly_4_0.3_auto_5_[384, 266, 128];0.5137082601054481;0.73075;0.6033023735810114;0.5736608641975309;0.5224844720496894;0.06186509132385254
SVDD_poly_4_0.4_auto_5_[384, 266, 128];0.5131552520586463;0.63875;0.5691056910569106;0.5921829012345678;0.5193788819875776;0.07068467140197754
SVDD_poly_4_0.5_auto_5_[384, 266, 128];0.526268522676246;0.586;0.5545303998107404;0.5971479629629629;0.5321739130434783;0.08087849617004395
SVDD_poly_4_3_0.6_auto_5_[384, 266, 128];0.5367699219673682;0.5675;0.5517073763519261;0.6050143827160495;0.5417391304347826;0.09069633483886719
SVDD_poly_4_0.7_auto_5_[384, 266, 128];0.6477007014809041;0.4155;0.5062442887602802;0.610082901234568;0.5972670807453416;0.10171747207641602
SVDD_poly_4_0.8_auto_5_[384, 266, 128];0.8600508905852418;0.169;0.2824905975762641;0.6121662345679013;0.573416149068323;0.11094522476196289
SVDD_poly_4_0.9_auto_5_[384, 266, 128];0.9166666666666666;0.0165;0.03241650294695481;0.6134991975308641;0.5105590062111801;0.122772216796875
SVDD_RBF_0.0001_scale_5_[384, 128];0.5048123195380173;0.78675;0.6150087942153605;0.5198335802469136;0.5105590062111801;0.044326066970825195
